Date,Won,Crimes
2014-08-29,1,278
2014-08-30,0,226
2014-08-31,1,239
2014-09-01,1,223
2014-09-02,1,186
2014-09-03,1,184
2014-09-04,1,255
2014-09-05,0,278
2014-09-06,0,269
2014-09-07,0,240
2014-09-08,0,248
2014-09-09,0,231
2014-09-10,1,269
2014-09-11,1,236
2014-09-12,1,230
2014-09-13,0,244
2014-09-14,1,225
2014-09-15,1,245
2014-09-16,0,264
2014-09-17,0,229
2014-09-18,0,260
2014-09-19,1,269
2014-09-20,0,247
2014-09-21,1,215
2014-09-22,1,274
2014-09-23,0,242
2014-09-24,1,285
2014-09-25,1,267
2014-09-26,0,288
2014-09-27,1,264
2014-09-28,0,236
2014-09-29,1,216
2014-09-30,1,240
2014-10-01,1,246
2014-10-02,1,235
2014-10-03,1,227
2014-10-04,0,241
2014-10-05,1,244
2014-10-06,1,284
2014-10-07,0,258
2014-10-08,1,239
2014-10-09,0,245
2014-10-10,1,252
2014-10-11,1,229
2014-10-12,1,231
2014-10-13,1,245
2014-10-14,1,267
2014-10-15,1,265
2014-10-16,1,236
2014-10-17,1,281
2014-10-18,1,305
2014-10-19,1,187
2014-10-20,1,260
2014-10-21,1,261
2014-10-22,1,272
2014-10-23,1,221
2014-10-24,1,289
2014-10-25,1,264
2014-10-26,1,228
2014-10-27,1,276
2014-10-28,1,249
2014-10-29,1,243
2014-10-30,1,251
2014-10-31,1,299
2014-11-01,1,225
2014-11-02,1,195
2014-11-03,1,253
2014-11-04,1,250
2014-11-05,1,216
2014-11-06,0,304
2014-11-07,1,232
2014-11-08,1,288
2014-11-09,1,246
2014-11-10,1,244
2014-11-11,1,212
2014-11-12,1,241
2014-11-13,1,213
2014-11-14,1,264
2014-11-15,1,237
2014-11-16,1,199
2014-11-17,1,234
2014-11-18,1,238
2014-11-19,1,226
2014-11-20,1,236
2014-11-21,1,260
2014-11-22,1,235
2014-11-23,1,220
2014-11-24,1,219
2014-11-25,1,238
2014-11-26,1,212
2014-11-27,1,124
2014-11-28,1,213
2014-11-29,1,202
2014-11-30,1,201
2014-12-01,1,200
2014-12-02,1,211
2014-12-03,1,253
2014-12-04,0,241
2014-12-05,1,307
2014-12-06,1,259
2014-12-07,0,214
2014-12-08,1,234
2014-12-09,1,278
2014-12-10,1,200
2014-12-11,1,248
2014-12-12,1,236
2014-12-13,1,240
2014-12-14,1,201
2014-12-15,1,245
2014-12-16,1,249
2014-12-17,1,235
2014-12-18,1,241
2014-12-19,1,246
2014-12-20,1,222
2014-12-21,1,173
2014-12-22,1,223
2014-12-23,1,221
2014-12-24,1,195
2014-12-25,1,115
2014-12-26,1,168
2014-12-27,1,209
2014-12-28,1,206
2014-12-29,1,210
2014-12-30,1,179
2014-12-31,1,246
2015-01-01,1,294
2015-01-02,1,220
2015-01-03,1,245
2015-01-04,1,245
2015-01-05,0,278
2015-01-06,1,221
2015-01-07,0,235
2015-01-07,0,289
2015-01-08,1,208
2015-01-08,1,278
2015-01-09,0,303
2015-01-10,0,263
2015-01-11,1,317
2015-01-12,1,295
2015-01-13,1,189
2015-01-14,1,197
2015-01-15,1,267
2015-01-16,1,263
2015-01-17,1,216
2015-01-18,1,219
2015-01-19,1,210
2015-01-20,1,208
2015-01-21,1,239
2015-01-22,1,236
2015-01-23,1,267
2015-01-24,1,196
2015-01-25,1,188
2015-01-26,1,240
2015-01-27,1,130
2015-01-28,1,149
2015-01-29,1,220
2015-01-30,1,230
2015-01-31,1,184
2015-02-01,1,228
2015-02-02,1,203
2015-02-03,1,232
2015-02-04,1,222
2015-02-05,0,216
2015-02-06,1,213
2015-02-07,1,272
2015-02-07,1,223
2015-02-08,0,194
2015-02-08,0,242
2015-02-09,0,298
2015-02-10,0,307
2015-02-11,1,282
2015-02-12,1,287
2015-02-13,1,251
2015-02-14,1,231
2015-02-15,1,208
2015-02-16,1,218
2015-02-17,1,246
2015-02-18,1,214
2015-02-19,1,235
2015-02-20,1,241
2015-02-21,1,230
2015-02-22,1,239
2015-02-23,1,235
2015-02-24,1,234
2015-02-25,1,232
2015-02-26,1,251
2015-02-27,1,250
2015-02-28,1,241
2015-03-01,1,179
2015-03-02,1,190
2015-03-03,1,266
2015-03-04,1,248
2015-03-05,0,209
2015-03-06,1,223
2015-03-07,0,270
2015-03-07,0,231
2015-03-08,1,222
2015-03-08,1,287
2015-03-09,1,280
2015-03-10,0,264
2015-03-11,1,313
2015-03-12,1,247
2015-03-13,1,247
2015-03-14,1,211
2015-03-15,1,252
2015-03-16,1,233
2015-03-17,1,246
2015-03-18,1,203
2015-03-19,1,197
2015-03-20,1,234
2015-03-21,1,215
2015-03-22,1,188
2015-03-23,1,204
2015-03-24,1,218
2015-03-25,1,226
2015-03-26,1,239
2015-03-27,1,236
2015-03-28,1,231
2015-03-29,1,197
2015-03-30,1,214
2015-03-31,1,221
2015-04-01,1,154
2015-04-02,1,254
2015-04-03,1,262
2015-04-04,1,222
2015-04-05,0,250
2015-04-06,0,238
2015-04-07,1,211
2015-04-07,1,254
2015-04-08,0,214
2015-04-08,0,276
2015-04-09,1,281
2015-04-10,0,230
2015-04-11,1,284
2015-04-12,1,316
2015-04-13,1,233
2015-04-14,1,239
2015-04-15,0,249
2015-04-16,1,246
2015-04-17,0,277
2015-04-18,0,235
2015-04-19,0,195
2015-04-20,1,211
2015-04-21,1,215
2015-04-22,0,235
2015-04-23,0,228
2015-04-24,1,243
2015-04-25,0,223
2015-04-26,0,196
2015-04-27,0,245
2015-04-28,0,235
2015-04-29,1,227
2015-04-30,1,216
2015-05-01,1,223
2015-05-02,1,226
2015-05-03,1,226
2015-05-04,1,148
2015-05-05,1,229
2015-05-06,1,246
2015-05-07,1,205
2015-05-07,1,248
2015-05-08,1,240
2015-05-08,1,302
2015-05-09,1,242
2015-05-10,1,268
2015-05-11,1,252
2015-05-12,1,235
2015-05-13,1,220
2015-05-14,1,233
2015-05-15,0,277
2015-05-16,1,241
2015-05-17,0,223
2015-05-18,1,242
2015-05-19,1,207
2015-05-20,0,248
2015-05-21,0,228
2015-05-22,0,263
2015-05-23,1,231
2015-05-24,1,194
2015-05-25,0,207
2015-05-26,0,268
2015-05-27,0,249
2015-05-28,1,267
2015-05-29,0,287
2015-05-30,0,271
2015-05-31,0,187
2015-06-01,1,207
2015-06-02,1,249
2015-06-03,1,247
2015-06-04,1,232
2015-06-05,0,265
2015-06-06,1,231
2015-06-07,1,288
2015-06-07,1,241
2015-06-08,0,210
2015-06-08,0,276
2015-06-09,1,234
2015-06-10,1,282
2015-06-11,1,301
2015-06-12,1,260
2015-06-13,0,214
2015-06-14,0,197
2015-06-15,0,249
2015-06-15,0,180
2015-06-16,1,258
2015-06-16,1,178
2015-06-17,0,235
2015-06-17,0,205
2015-06-18,1,294
2015-06-18,1,265
2015-06-19,1,248
2015-06-19,1,289
2015-06-20,0,227
2015-06-20,0,261
2015-06-21,1,168
2015-06-21,1,186
2015-06-22,1,262
2015-06-22,1,228
2015-06-23,0,225
2015-06-23,0,266
2015-06-24,1,276
2015-06-24,1,240
2015-06-25,0,258
2015-06-25,0,293
2015-06-26,1,273
2015-06-26,1,235
2015-06-27,0,252
2015-06-27,0,310
2015-06-28,1,203
2015-06-28,1,237
2015-06-29,1,219
2015-06-29,1,252
2015-06-30,1,226
2015-06-30,1,259
2015-07-01,1,222
2015-07-02,1,242
2015-07-03,1,215
2015-07-04,1,232
2015-07-05,1,264
2015-07-06,1,240
2015-07-07,1,261
2015-07-07,1,227
2015-07-08,1,300
2015-07-08,1,226
2015-07-09,1,244
2015-07-10,1,315
2015-07-11,1,275
2015-07-12,1,304
2015-07-13,1,230
2015-07-13,1,275
2015-07-14,1,243
2015-07-14,1,289
2015-07-15,1,292
2015-07-15,1,241
2015-07-16,1,272
2015-07-16,1,238
2015-07-17,0,235
2015-07-17,0,297
2015-07-18,0,208
2015-07-18,0,239
2015-07-19,1,220
2015-07-19,1,247
2015-07-20,1,223
2015-07-20,1,278
2015-07-21,0,276
2015-07-21,0,240
2015-07-22,0,270
2015-07-22,0,220
2015-07-23,0,290
2015-07-23,0,253
2015-07-24,0,245
2015-07-24,0,301
2015-07-25,0,232
2015-07-25,0,269
2015-07-26,1,169
2015-07-26,1,197
2015-07-27,0,234
2015-07-27,0,282
2015-07-28,0,222
2015-07-28,0,264
2015-07-29,0,275
2015-07-29,0,233
2015-07-30,1,218
2015-07-30,1,266
2015-07-31,1,290
2015-07-31,1,230
2015-08-01,1,203
2015-08-02,1,220
2015-08-03,1,184
2015-08-04,0,201
2015-08-05,0,245
2015-08-06,1,193
2015-08-07,1,262
2015-08-07,1,226
2015-08-08,0,252
2015-08-08,0,182
2015-08-09,0,292
2015-08-10,1,288
2015-08-11,1,245
2015-08-12,1,290
2015-08-13,1,283
2015-08-14,1,293
2015-08-15,1,257
2015-08-16,0,212
2015-08-17,0,283
2015-08-18,1,302
2015-08-19,1,259
2015-08-20,1,266
2015-08-21,1,286
2015-08-22,0,282
2015-08-23,0,219
2015-08-24,1,267
2015-08-25,0,288
2015-08-26,1,298
2015-08-27,1,247
2015-08-28,1,271
2015-08-29,1,295
2015-08-30,0,259
2015-08-31,1,304
2015-09-01,1,229
2015-09-02,1,197
2015-09-03,1,225
2015-09-04,1,197
2015-09-05,0,190
2015-09-06,0,194
2015-09-07,1,206
2015-09-07,1,232
2015-09-08,1,221
2015-09-08,1,141
2015-09-09,1,299
2015-09-10,1,275
2015-09-11,1,286
2015-09-12,1,288
2015-09-13,1,240
2015-09-14,0,263
2015-09-15,0,302
2015-09-16,1,281
2015-09-17,1,301
2015-09-18,0,303
2015-09-19,1,326
2015-09-20,1,269
2015-09-21,1,297
2015-09-22,0,272
2015-09-23,0,291
2015-09-24,0,285
2015-09-25,1,342
2015-09-26,1,278
2015-09-27,1,261
2015-09-28,1,291
2015-09-29,1,272
2015-09-30,1,227
2015-10-01,1,196
2015-10-02,1,217
2015-10-03,1,240
2015-10-04,1,250
2015-10-05,1,211
2015-10-06,0,260
2015-10-07,0,309
2015-10-07,0,259
2015-10-08,1,23
2015-10-08,1,287
2015-10-09,1,281
2015-10-10,1,258
2015-10-11,1,248
2015-10-12,1,260
2015-10-13,1,296
2015-10-14,1,294
2015-10-15,1,281
2015-10-16,1,319
2015-10-17,1,246
2015-10-18,1,211
2015-10-19,1,246
2015-10-20,1,272
2015-10-21,1,287
2015-10-22,1,264
2015-10-23,1,318
2015-10-24,1,246
2015-10-25,1,225
2015-10-26,1,248
2015-10-27,1,269
2015-10-28,1,257
2015-10-29,1,238
2015-10-30,1,275
2015-10-31,1,306
2015-11-01,1,181
