Date,Won,Crimes
2014-06-22,W,212.0
2014-06-23,L,221.0
2014-06-24,L,242.0
2014-06-25,W,273.0
2014-06-27,L,253.0
2014-06-28,W,257.0
2014-06-29,W,243.0
2014-06-30,L,267.0
2014-07-01,L,242.0
2014-07-02,W,240.0
2014-07-03,W,234.0
2014-07-04,W,229.0
2014-07-05,W,257.0
2014-07-06,L,262.0
2014-07-07,L,254.0
2014-07-08,L,242.0
2014-07-09,L,244.0
2014-07-11,W,232.0
2014-07-12,W,180.0
2014-07-13,W,217.0
2014-07-18,W,296.0
2014-07-19,W,246.0
2014-07-20,W,242.0
2014-07-21,W,241.0
2014-07-22,L,254.0
2014-07-23,L,254.0
2014-07-24,L,251.0
2014-07-25,L,302.0
2014-07-26,L,258.0
2014-07-27,W,225.0
2014-07-28,L,265.0
2014-07-29,L,271.0
2014-07-30,L,293.0
2014-08-01,L,218.0
2014-08-02,W,217.0
2014-08-03,W,204.0
2014-08-04,L,252.0
2014-08-05,W,249.0
2014-08-06,W,227.0
2014-08-07,L,247.0
2014-08-08,W,256.0
2014-08-09,L,262.0
2014-08-10,W,248.0
2014-08-11,W,266.0
2014-08-12,L,199.0
2014-08-13,W,224.0
2014-08-14,W,254.0
2014-08-15,L,291.0
2014-08-16,W,240.0
2014-08-17,L,233.0
2014-08-18,L,219.0
2014-08-19,L,244.0
2014-08-20,L,301.0
2014-08-21,L,250.0
2014-08-22,L,264.0
2014-08-23,L,255.0
2014-08-24,L,221.0
2014-08-25,W,262.0
2014-08-26,W,231.0
2014-08-27,L,256.0
2014-08-29,W,278.0
2014-08-30,L,226.0
2014-08-31,W,239.0
2014-09-01,L,223.0
2014-09-02,L,186.0
2014-09-03,W,184.0
2014-09-04,W,255.0
2014-09-05,L,278.0
2014-09-06,L,269.0
2014-09-07,W-wo,240.0
2014-09-08,L-wo,248.0
2014-09-09,L,231.0
2014-09-10,L,269.0
2014-09-13,L,244.0
2014-09-14,W,225.0
2014-09-16,L,264.0
2014-09-17,L,229.0
